disruption_id,segment_id,cause,rainfall_72h_mm,avg_slope_deg,elevation_m,terrain,soil_type,surface_quality,lanes,importance,bridge_count,length_km,susceptibility_class,lsi_score,historic_density_per_km,landslide_volume_m3,runout_distance_m,material,alternate_route_available,month,duration_hours,duration_bucket
DSR-01815,SEG-0049,maintenance,37.7,22.3,1450,mountain,weathered_rock,fair,1,national,1,20.47,high,0.6253,2.1006,0,0,none,True,1,34.6,1_3days
DSR-00005,SEG-0066,landslide,76.5,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,2114,21,rock,True,1,18.0,6_24h
DSR-01983,SEG-0041,maintenance,17.6,16.2,52,hilly,lateritic,good,2,national,2,45.87,low,0.3125,0.3052,0,0,none,True,1,34.2,1_3days
DSR-01777,SEG-0039,maintenance,18.7,21.4,36,hilly,lateritic,fair,2,national,7,41.19,moderate,0.4111,0.4613,0,0,none,True,1,56.2,1_3days
DSR-01680,SEG-0036,maintenance,50.0,38.8,1084,mountain,weathered_rock,good,2,national,0,48.29,high,0.5956,0.8905,0,0,none,True,2,65.6,1_3days
DSR-01785,SEG-0065,maintenance,28.6,24.2,1060,mountain,weathered_rock,fair,1,state,3,49.23,high,0.6127,1.1781,0,0,none,True,2,77.6,over_3days
DSR-01971,SEG-0011,fallen_tree,16.5,5.7,112,plain,alluvial,fair,4,national,1,42.95,low,0.2769,0.0698,0,0,none,True,2,11.7,6_24h
DSR-00051,SEG-0070,landslide,88.4,17.5,123,hilly,lateritic,good,2,state,2,93.38,low,0.3544,0.1606,141,10,earth,True,2,1.0,under_6h
DSR-00080,SEG-0055,landslide,533.2,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,3396,52,earth,True,2,6.8,6_24h
DSR-00046,SEG-0052,landslide,197.9,37.0,1662,mountain,weathered_rock,poor,2,state,7,38.08,very_high,0.7503,2.2321,1842,52,earth,True,3,3.0,under_6h
DSR-00141,SEG-0023,landslide,164.7,23.6,1061,mountain,weathered_rock,fair,2,national,0,27.48,moderate,0.546,1.0917,4412,31,earth,True,3,2.2,under_6h
DSR-02120,SEG-0049,bridge_damage,102.8,22.3,1450,mountain,weathered_rock,fair,1,national,1,20.47,high,0.6253,2.1006,0,0,none,True,3,162.7,over_3days
DSR-00056,SEG-0014,landslide,445.9,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,522,14,earth,True,3,1.0,under_6h
DSR-00041,SEG-0069,landslide,427.8,20.0,352,mountain,weathered_rock,poor,1,state,5,43.86,high,0.564,1.1628,5867,67,debris,True,3,18.9,6_24h
DSR-00065,SEG-0034,landslide,214.7,27.5,891,mountain,weathered_rock,poor,2,national,3,54.94,high,0.6405,1.0193,674,28,debris,True,4,1.3,under_6h
