disruption_id,segment_id,district_id,state_code,highway_code,cause,linked_landslide_id,start_time,end_time,duration_hours,closure_type,severity,vehicles_stranded,cargo_tonnes_affected,essential_cargo_affected,cargo_type,alternate_route_available,alternate_segment_id,detour_extra_km,restoration_agency,restoration_cost_inr,estimated_economic_loss_inr,rainfall_72h_mm,susceptibility_class,fiscal_period
DSR-01815,SEG-0049,D-SK-01,SK,NH-310,maintenance,,2015-01-14T20:00:00,2015-01-16T06:36:00,34.6,full,moderate,72,439.0,True,relief_supplies,True,SEG-0048,30.1,NHIDCL,991752,1190699,37.7,high,2015-16
DSR-00005,SEG-0066,D-AR-09,AR,NH-315,landslide,LS-00007,2015-01-19T22:30:00,2015-01-20T16:30:00,18.0,full,moderate,48,140.6,False,food_grains,True,SEG-0067,49.1,NDRF,1015139,594435,76.5,very_high,2015-16
DSR-01983,SEG-0041,D-TR-03,TR,NH-8,maintenance,,2015-01-27T03:15:00,2015-01-28T13:27:00,34.2,full,moderate,65,432.0,True,lpg_cylinders,True,SEG-0042,20.5,State PWD,512852,644552,17.6,low,2015-16
DSR-01777,SEG-0039,D-TR-01,TR,NH-8,maintenance,,2015-01-28T10:00:00,2015-01-30T18:12:00,56.2,full,moderate,34,155.8,False,construction_material,True,SEG-0040,35.4,NHIDCL,585439,295403,18.7,moderate,2015-16
DSR-01680,SEG-0036,D-MZ-05,MZ,NH-306,maintenance,,2015-02-03T21:00:00,2015-02-06T14:36:00,65.6,full,moderate,55,164.1,False,food_grains,True,SEG-0035,83.5,State PWD,1705546,347004,50.0,high,2015-16
DSR-01785,SEG-0065,D-AR-05,AR,NH-315,maintenance,,2015-02-17T00:45:00,2015-02-20T06:21:00,77.6,full,major,67,414.5,True,lpg_cylinders,True,SEG-0061,115.2,NDRF,1557201,1617421,28.6,high,2015-16
DSR-01971,SEG-0011,D-AS-04,AS,NH-27,fallen_tree,,2015-02-22T02:00:00,2015-02-22T13:42:00,11.7,partial,moderate,3,25.8,False,lpg_cylinders,True,SEG-0010,132.3,NHIDCL,369368,105042,16.5,low,2015-16
DSR-00051,SEG-0070,D-AS-02,AS,NH-36,landslide,LS-00078,2015-02-24T18:45:00,2015-02-24T19:45:00,1.0,full,major,92,554.9,False,construction_material,True,SEG-0005,174.4,NHIDCL,51328,2214793,88.4,low,2015-16
DSR-00080,SEG-0055,D-SK-04,SK,NH-510,landslide,LS-00124,2015-02-27T07:00:00,2015-02-27T13:48:00,6.8,partial,moderate,0,0.0,False,vaccines,True,SEG-0054,30.9,NHIDCL,438053,0,533.2,very_high,2015-16
DSR-00046,SEG-0052,D-SK-01,SK,NH-510,landslide,LS-00072,2015-03-02T23:15:00,2015-03-03T02:15:00,3.0,partial,minor,98,294.9,True,relief_supplies,True,SEG-0049,46.3,BRO (Border Roads Organisation),48431,899588,197.9,very_high,2015-16
DSR-00141,SEG-0023,D-MN-05,MN,NH-2,landslide,LS-00238,2015-03-19T03:15:00,2015-03-19T05:27:00,2.2,partial,moderate,6,48.6,False,lpg_cylinders,True,SEG-0024,102.0,NHIDCL,237529,69667,164.7,moderate,2015-16
DSR-02120,SEG-0049,D-SK-01,SK,NH-310,bridge_damage,,2015-03-20T17:30:00,2015-03-27T12:12:00,162.7,full,major,65,576.5,True,construction_material,True,SEG-0050,37.7,State PWD,4700504,1363849,102.8,high,2015-16
DSR-00056,SEG-0014,D-ML-01,ML,NH-6,landslide,LS-00083,2015-03-21T22:45:00,2015-03-21T23:45:00,1.0,partial,minor,2,14.5,True,relief_supplies,True,SEG-0013,72.0,BRO (Border Roads Organisation),91463,25580,445.9,high,2015-16
DSR-00041,SEG-0069,D-AS-07,AS,NH-27-DH,landslide,LS-00065,2015-03-27T19:30:00,2015-03-28T14:24:00,18.9,full,catastrophic,36,142.9,True,fuel,True,SEG-0068,165.4,SDRF,500798,317651,427.8,high,2015-16
DSR-00065,SEG-0034,D-MZ-04,MZ,NH-306,landslide,LS-00094,2015-04-10T02:00:00,2015-04-10T03:18:00,1.3,partial,minor,35,211.4,False,agri_produce,True,SEG-0035,63.6,State PWD,49326,771115,214.7,high,2015-16
DSR-00084,SEG-0052,D-SK-01,SK,NH-510,landslide,LS-00135,2015-04-12T01:30:00,2015-04-12T08:36:00,7.1,partial,moderate,67,227.6,False,relief_supplies,True,SEG-0053,11.6,NHIDCL,220248,798181,11.4,very_high,2015-16
