landslide_id,event_date,fiscal_period,state_code,district_id,district_name,segment_id,highway_code,latitude,longitude,landslide_type,trigger,material,lithology,land_use,volume_m3,runout_distance_m,slope_angle_deg,elevation_m,rainfall_72h_mm,fatalities,injuries,houses_damaged,road_blocked,blockage_duration_hours,severity,source
LS-00001,2015-09-20,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0014,NH-6,25.52765,91.9838,translational_slide,rainfall,rock,sandstone_shale,jhum_cultivation,7475,71,32.1,1438,759.8,0,0,4,True,10.4,moderate,SDMA
LS-00002,2016-06-12,2015-16,NL,D-NL-02,Dimapur,SEG-0021,NH-2,25.80799,93.87535,rotational_slide,seismic,earth,quartzite,barren,5972,69,36.3,794,40.9,0,0,0,False,0.0,moderate,NDMA
LS-00003,2016-07-25,2015-16,AR,D-AR-03,West Kameng,SEG-0064,NH-13-W,27.32956,92.30937,rotational_slide,anthropogenic_cut,earth,phyllite,jhum_cultivation,3208,51,31.6,2731,118.2,0,0,4,True,8.8,moderate,PWD-field
LS-00004,2015-07-08,2015-16,MZ,D-MZ-01,Aizawl,SEG-0037,NH-302,23.57517,93.10269,rotational_slide,rainfall,earth,sandstone_shale,settlement,1960,48,48.7,1405,477.3,0,0,4,True,13.0,moderate,GSI-NLSM
LS-00005,2016-01-05,2015-16,NL,D-NL-03,Mokokchung,SEG-0027,NH-29,26.29828,94.75514,translational_slide,rainfall,rock,gneiss,agriculture,1599,38,38.5,1348,364.8,0,0,5,True,1.5,minor,NDMA
LS-00006,2015-06-23,2015-16,AR,D-AR-09,Dibang Valley,SEG-0066,NH-315,27.94499,96.10981,rotational_slide,rainfall,earth,sandstone_shale,road_cut,1323,51,46.0,1099,603.6,0,0,0,False,0.0,minor,NDMA
LS-00007,2015-01-19,2015-16,AR,D-AR-09,Dibang Valley,SEG-0066,NH-315,28.00239,96.04638,rockfall,anthropogenic_cut,rock,sandstone_shale,jhum_cultivation,2114,21,49.1,1099,76.5,0,0,1,True,18.0,moderate,GSI-NLSM
LS-00008,2016-07-20,2015-16,SK,D-SK-01,Gangtok,SEG-0048,NH-10,27.27898,88.54898,rotational_slide,rainfall,earth,phyllite,settlement,261,22,29.7,1650,577.5,0,0,3,False,0.0,minor,GSI-NLSM
LS-00009,2016-07-25,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0013,NH-6,25.65752,91.88313,mudslide,rainfall,earth,sandstone_shale,barren,62,11,42.6,1496,517.6,0,0,3,False,0.0,minor,SDMA
LS-00010,2015-07-03,2015-16,TR,D-TR-01,West Tripura,SEG-0039,NH-8,24.02434,91.53538,translational_slide,rainfall,rock,siltstone,road_cut,4774,86,30.3,36,144.1,0,0,3,False,0.0,moderate,GSI-NLSM
