segment_id,obs_date,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,avg_slope_deg,elevation_m,dist_to_river_km,past_incident_count,bridge_count,lanes,terrain,soil_type,surface_quality,risk_score,risk_label
SEG-0001,2026-05-20,41.7,41.7,41.7,4.2,87,3.0,0,1,4,plain,alluvial,good,1.877,low
SEG-0001,2026-05-21,34.6,76.3,76.3,4.2,87,3.0,0,1,4,plain,alluvial,good,2.751,low
SEG-0001,2026-05-22,8.0,84.3,84.3,4.2,87,3.0,0,1,4,plain,alluvial,good,2.529,low
SEG-0001,2026-05-23,14.6,57.2,98.9,4.2,87,3.0,0,1,4,plain,alluvial,good,1.977,low
SEG-0001,2026-05-24,48.8,71.4,147.7,4.2,87,3.0,0,1,4,plain,alluvial,good,3.061,low
SEG-0001,2026-05-25,25.1,88.5,172.8,4.2,87,3.0,0,1,4,plain,alluvial,good,3.172,low
SEG-0001,2026-05-26,0.2,74.1,173.0,4.2,87,3.0,0,1,4,plain,alluvial,good,2.375,low
SEG-0001,2026-05-27,13.6,38.9,144.9,4.2,87,3.0,0,1,4,plain,alluvial,good,1.61,low
SEG-0001,2026-05-28,1.1,14.9,111.4,4.2,87,3.0,0,1,4,plain,alluvial,good,0.682,low
SEG-0001,2026-05-29,6.5,21.2,109.9,4.2,87,3.0,0,1,4,plain,alluvial,good,0.933,low
SEG-0001,2026-05-30,7.9,15.5,103.2,4.2,87,3.0,0,1,4,plain,alluvial,good,0.79,low
SEG-0001,2026-05-31,2.6,17.0,57.0,4.2,87,3.0,0,1,4,plain,alluvial,good,0.612,low
SEG-0001,2026-06-01,26.6,37.1,58.5,4.2,87,3.0,0,1,4,plain,alluvial,good,1.547,low
SEG-0001,2026-06-02,22.5,51.7,80.8,4.2,87,3.0,0,1,4,plain,alluvial,good,1.918,low
SEG-0001,2026-06-03,9.5,58.6,76.7,4.2,87,3.0,0,1,4,plain,alluvial,good,1.865,low
SEG-0001,2026-06-04,46.6,78.6,122.2,4.2,87,3.0,0,1,4,plain,alluvial,good,3.141,low
SEG-0001,2026-06-05,46.4,102.5,162.1,4.2,87,3.0,0,1,4,plain,alluvial,good,3.869,low
