zone_id,segment_id,district_id,highway_code,susceptibility_class,lsi_score,slope_factor,relief_factor,lithology_factor,drainage_factor,road_cut_factor,rainfall_factor,historic_density_per_km,historic_event_count,assessment_method,assessed_on
SZ-0001,SEG-0001,D-WB-01,NH-27,low,0.2231,0.093,0.029,0.2,0.467,0.25,0.6,0.0,0,weighted_overlay_NLSM,2026-06-30
SZ-0002,SEG-0002,D-AS-10,NH-27,low,0.2701,0.098,0.018,0.2,1.0,0.25,0.62,0.021,1,weighted_overlay_NLSM,2026-06-30
SZ-0003,SEG-0003,D-AS-10,NH-27,low,0.2534,0.047,0.018,0.2,0.524,0.55,0.62,0.0,0,weighted_overlay_NLSM,2026-06-30
SZ-0004,SEG-0004,D-AS-01,NH-27,low,0.2316,0.082,0.018,0.2,0.491,0.25,0.62,0.1125,5,weighted_overlay_NLSM,2026-06-30
SZ-0005,SEG-0005,D-AS-01,NH-27,low,0.2605,0.06,0.019,0.2,1.0,0.25,0.62,0.0206,2,weighted_overlay_NLSM,2026-06-30
SZ-0006,SEG-0006,D-AS-02,NH-27,low,0.268,0.033,0.023,0.2,0.718,0.55,0.62,0.0294,1,weighted_overlay_NLSM,2026-06-30
SZ-0007,SEG-0007,D-AS-09,NH-27,low,0.2537,0.036,0.028,0.2,0.549,0.55,0.62,0.0,0,weighted_overlay_NLSM,2026-06-30
SZ-0008,SEG-0008,D-AS-03,NH-27,low,0.3133,0.118,0.03,0.2,1.0,0.55,0.62,0.0277,1,weighted_overlay_NLSM,2026-06-30
SZ-0009,SEG-0009,D-AS-03,NH-27,low,0.2614,0.053,0.031,0.2,1.0,0.25,0.62,0.0397,2,weighted_overlay_NLSM,2026-06-30
SZ-0010,SEG-0010,D-AS-11,NH-27,low,0.3066,0.093,0.034,0.2,1.0,0.55,0.62,0.0165,1,weighted_overlay_NLSM,2026-06-30
SZ-0011,SEG-0011,D-AS-04,NH-27,low,0.2769,0.127,0.037,0.2,0.471,0.55,0.62,0.0698,3,weighted_overlay_NLSM,2026-06-30
SZ-0012,SEG-0012,D-AS-01,NH-6,high,0.5759,0.524,0.258,0.85,0.092,0.55,0.62,1.5285,47,weighted_overlay_NLSM,2026-06-30
SZ-0013,SEG-0013,D-ML-01,NH-6,very_high,0.7998,0.824,0.499,0.85,0.27,0.9,1.0,6.2115,222,weighted_overlay_NLSM,2026-06-30
SZ-0014,SEG-0014,D-ML-01,NH-6,high,0.671,0.547,0.479,0.85,0.117,0.55,1.0,3.7408,127,weighted_overlay_NLSM,2026-06-30
SZ-0015,SEG-0015,D-ML-02,NH-6,high,0.6753,0.638,0.234,0.85,0.29,0.55,1.0,1.4431,109,weighted_overlay_NLSM,2026-06-30
SZ-0016,SEG-0016,D-AS-12,NH-6,low,0.2584,0.084,0.008,0.2,0.886,0.25,0.62,0.0513,1,weighted_overlay_NLSM,2026-06-30
SZ-0017,SEG-0017,D-AS-01,NH-27-SPUR,low,0.2804,0.133,0.018,0.2,1.0,0.25,0.62,0.0358,4,weighted_overlay_NLSM,2026-06-30
SZ-0018,SEG-0018,D-AS-10,NH-27-SPUR,moderate,0.3867,0.227,0.046,0.55,0.128,0.9,0.62,0.2513,21,weighted_overlay_NLSM,2026-06-30
SZ-0019,SEG-0019,D-ML-03,NH-27-SPUR,moderate,0.4436,0.324,0.112,0.55,0.113,0.25,1.0,0.8814,37,weighted_overlay_NLSM,2026-06-30
SZ-0020,SEG-0020,D-ML-04,NH-27-SPUR,moderate,0.4853,0.344,0.15,0.55,0.173,0.55,1.0,0.7492,25,weighted_overlay_NLSM,2026-06-30
SZ-0021,SEG-0021,D-NL-02,NH-2,high,0.5592,0.667,0.265,0.85,0.149,0.55,0.55,0.7826,36,weighted_overlay_NLSM,2026-06-30
SZ-0022,SEG-0022,D-NL-01,NH-2,high,0.5848,0.496,0.417,0.85,0.199,0.55,0.55,1.641,32,weighted_overlay_NLSM,2026-06-30
SZ-0023,SEG-0023,D-MN-05,NH-2,moderate,0.546,0.524,0.354,0.85,0.155,0.55,0.5,1.0917,30,weighted_overlay_NLSM,2026-06-30
SZ-0024,SEG-0024,D-MN-05,NH-2,high,0.5596,0.5,0.308,0.85,0.927,0.55,0.5,0.5484,28,weighted_overlay_NLSM,2026-06-30
SZ-0025,SEG-0025,D-NL-01,NH-29,high,0.6173,0.873,0.459,0.85,0.08,0.25,0.55,1.1204,55,weighted_overlay_NLSM,2026-06-30
SZ-0026,SEG-0026,D-NL-04,NH-29,high,0.6286,0.704,0.44,0.85,0.144,0.55,0.55,1.3672,49,weighted_overlay_NLSM,2026-06-30
SZ-0027,SEG-0027,D-NL-03,NH-29,high,0.6513,0.74,0.449,0.85,0.187,0.55,0.55,1.5118,48,weighted_overlay_NLSM,2026-06-30
SZ-0028,SEG-0028,D-MN-01,NH-37,high,0.5668,0.773,0.341,0.85,0.289,0.25,0.5,0.8349,39,weighted_overlay_NLSM,2026-06-30
SZ-0029,SEG-0029,D-MN-04,NH-37,moderate,0.5237,0.476,0.42,0.85,0.805,0.25,0.5,0.589,26,weighted_overlay_NLSM,2026-06-30
SZ-0030,SEG-0030,D-MN-04,NH-37,moderate,0.5294,0.753,0.214,0.85,0.147,0.25,0.5,0.751,26,weighted_overlay_NLSM,2026-06-30
SZ-0031,SEG-0031,D-MN-02,NH-2-S,moderate,0.516,0.58,0.283,0.85,0.098,0.55,0.5,0.621,37,weighted_overlay_NLSM,2026-06-30
SZ-0032,SEG-0032,D-MN-01,NH-2-S,high,0.6374,0.84,0.408,0.85,0.177,0.55,0.5,1.1089,56,weighted_overlay_NLSM,2026-06-30
SZ-0033,SEG-0033,D-AS-06,NH-306,low,0.3399,0.322,0.112,0.55,0.185,0.25,0.62,0.1596,11,weighted_overlay_NLSM,2026-06-30
SZ-0034,SEG-0034,D-MZ-04,NH-306,high,0.6405,0.611,0.297,0.85,0.475,0.9,0.6,1.0193,56,weighted_overlay_NLSM,2026-06-30
SZ-0035,SEG-0035,D-MZ-01,NH-306,high,0.6147,0.533,0.405,0.85,0.096,0.9,0.6,1.1951,59,weighted_overlay_NLSM,2026-06-30
SZ-0036,SEG-0036,D-MZ-05,NH-306,high,0.5956,0.862,0.361,0.85,0.084,0.25,0.6,0.8905,43,weighted_overlay_NLSM,2026-06-30
SZ-0037,SEG-0037,D-MZ-01,NH-302,high,0.691,0.86,0.468,0.85,0.086,0.9,0.6,0.9652,66,weighted_overlay_NLSM,2026-06-30
SZ-0038,SEG-0038,D-TR-04,NH-8,very_low,0.2089,0.04,0.005,0.2,0.773,0.25,0.45,0.03,2,weighted_overlay_NLSM,2026-06-30
SZ-0039,SEG-0039,D-TR-01,NH-8,moderate,0.4111,0.476,0.012,0.55,0.366,0.55,0.45,0.4613,19,weighted_overlay_NLSM,2026-06-30
SZ-0040,SEG-0040,D-TR-03,NH-8,moderate,0.3802,0.244,0.02,0.55,0.933,0.55,0.45,0.204,6,weighted_overlay_NLSM,2026-06-30
SZ-0041,SEG-0041,D-TR-03,NH-8,low,0.3125,0.36,0.017,0.55,0.081,0.25,0.45,0.3052,14,weighted_overlay_NLSM,2026-06-30
SZ-0042,SEG-0042,D-TR-02,NH-8,moderate,0.4355,0.202,0.015,0.55,0.538,0.9,0.45,1.0507,17,weighted_overlay_NLSM,2026-06-30
SZ-0043,SEG-0043,D-TR-02,NH-8,moderate,0.4617,0.456,0.011,0.55,0.117,0.9,0.45,0.9676,17,weighted_overlay_NLSM,2026-06-30
SZ-0044,SEG-0044,D-AS-12,NH-8,low,0.2667,0.084,0.008,0.2,1.0,0.25,0.62,0.0399,2,weighted_overlay_NLSM,2026-06-30
SZ-0045,SEG-0045,D-AS-12,NH-8,low,0.2326,0.038,0.008,0.2,0.722,0.25,0.62,0.043,1,weighted_overlay_NLSM,2026-06-30
