district_id,district_name,state_code,obs_date,rainfall_mm,temp_max_c,temp_min_c,humidity_pct,wind_kmph,source
D-AS-01,Kamrup Metropolitan,AS,2026-05-20,0.4,28.7,21.3,64,3.7,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-21,10.8,28.2,19.7,66,7.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-22,0.1,31.7,22.8,53,12.2,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-23,16.5,30.0,24.7,67,22.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-24,13.8,31.0,21.1,69,24.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-25,10.5,31.3,23.8,70,15.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-26,12.8,29.8,23.5,64,17.3,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-27,9.0,30.8,24.4,59,8.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-28,5.5,30.3,24.6,59,18.7,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-29,1.1,29.6,21.9,58,7.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-30,15.5,30.4,21.9,74,20.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-05-31,0.1,29.3,20.5,64,24.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-01,19.7,30.1,22.1,68,7.3,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-02,0.8,29.2,20.8,58,6.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-03,3.4,30.9,25.8,59,15.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-04,65.9,31.3,25.4,99,9.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-05,39.9,28.6,19.2,83,24.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-06,38.9,31.6,24.2,89,3.3,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-07,54.6,27.6,22.3,99,3.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-08,52.7,26.4,20.6,90,18.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-09,43.1,27.8,19.3,92,6.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-10,19.7,27.6,18.5,79,4.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-11,74.4,31.4,24.5,99,6.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-12,43.9,31.4,25.2,92,9.2,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-13,46.7,31.3,22.3,92,3.0,IMD-synthetic
